name_x,id,episode_id,season_number,episode_number,air_date,name_y,overview,vote_average,vote_count
Star Trek,253,13971,1,20,1967-02-02,Court Martial,Captain Kirk's career is at stake when he is put on trial for the loss of a crewman during an ion storm.,7.2,27
Star Trek,253,13973,1,21,1967-02-09,The Return of the Archons,"The Enterprise encounters a seemingly peaceful civilization run by a """"benevolent"""" being named Landru...who intends for them to join his people.",7.2,27
Star Trek,253,13974,1,22,1967-02-16,Space Seed,"The Enterprise picks up a crew of genetic supermen from the 20th century...and their leader, Khan, plans to create a new empire.",8.4,31
Star Trek,253,13975,1,23,1967-02-23,A Taste of Armageddon,"The Enterprise arrives at a planet to establish diplomatic relations and finds itself in the middle of a ""peaceful"" war that threatens to destroy the ship.",7.7,29
Star Trek,253,13977,1,24,1967-03-02,This Side of Paradise,The Enterprise crew is trapped in paradise when they come to rescue colonists who have fallen to pacifying alien spores and become infected themselves.,7.6,30
Star Trek,253,13978,1,25,1967-03-09,The Devil in the Dark,Kirk investigates a series of grisly murders on a mining planet that are the work of a seemingly hostile alien creature.,7.6,31
Star Trek,253,13976,1,26,1967-03-23,Errand of Mercy,"The Federation and the Klingon Empire teeter on the brink of war as Kirk investigates a humble planet caught in the middle - Organia, inhabited by pacifists",7.6,30
Star Trek,253,13979,1,27,1967-03-30,The Alternative Factor,Kirk and Spock encounter an alien named Lazarus who claims to be from an anti-matter universe.,5.1,27
Star Trek,253,13981,1,28,1967-04-06,The City on the Edge of Forever,Kirk and Spock must travel into the past in order to correct a change that will alter history.,8.6,39
Star Trek,253,13980,1,29,1967-04-13,Operation: Annihilate!,Kirk and the Enterprise must combat parasitic aliens.,6.9,26
Star Trek,253,13987,2,1,1967-09-15,Amok Time,First Officer Spock returns to his home world for a brutal Vulcan mating ritual.,8.1,33
Star Trek,253,13996,2,2,1967-09-22,Who Mourns for Adonais?,The crew of the Enterprise are held captive by an alien who turns out to be the Greek god Apollo.,6.1,29
Star Trek,253,13991,2,3,1967-09-29,The Changeling,The crew of the USS Enterprise deals with an indestructible planet-destroying space probe.,7.3,29
Star Trek,253,13983,2,4,1967-10-06,"Mirror, Mirror","A transporter mishap swaps Captain Kirk and his companions with their evil counterparts in a parallel universe. In the so-called Mirror Universe, the Enterprise is a ship of the Terran Empire, an organization as evil as the United Federation of Planets is benevolent.",8.3,33
Star Trek,253,13997,2,5,1967-10-13,The Apple,The crew of the Enterprise visits a mysterious paradisical planet controlled by a computer that is served by the local inhabitants.,6.4,25
Star Trek,253,13988,2,6,1967-10-20,The Doomsday Machine,"The starship Enterprise and its heavily-damaged sister ship, the USS Constellation, must work together to stop an alien planet-killing machine headed for the heart of Federation territory.",8.0,35
Star Trek,253,13990,2,7,1967-10-27,Catspaw,Two powerful aliens threaten the well-being of the Enterprise and her crew.,5.9,25
Star Trek,253,13989,2,8,1967-11-03,"I, Mudd","Captain Kirk has a second run-in with the conman, Harry Mudd. Mudd is now the supreme ruler of a planet of androids who cater to his every whim.",7.1,27
Star Trek,253,13993,2,9,1967-11-10,Metamorphosis,A shuttle crew from the USS Enterprise encounters a man out of history and his mysterious alien companion.,6.6,28
Star Trek,253,13986,2,10,1967-11-17,Journey to Babel,"The Enterprise must transport dignitaries to a peace conference, with an assassin on the loose.",7.833,30
Star Trek,253,13994,2,11,1967-12-01,Friday's Child,The crew of the Enterprise become entangled in a planet's tribal power struggle.,6.5,26
Star Trek,253,13999,2,12,1967-12-08,The Deadly Years,Strange radiation exposes the command crew of the Enterprise to the effects of rapid aging.,7.2,25
Star Trek,253,14002,2,13,1967-12-15,Obsession,Captain James T. Kirk becomes obsessed with destroying a deadly entity he once encountered in his youth.,6.9,27
Star Trek,253,13995,2,14,1967-12-22,Wolf in the Fold,A series of bizarre murders points to Mr. Scott as the prime suspect.,6.5,24
Star Trek,253,13984,2,15,1967-12-29,The Trouble With Tribbles,"The ship travels to Deep Space Station K7 to guard a consignment of grain bound for Sherman's Planet. On arrival, a trader named Cyrano Jones gives Lt. Uhura a tribble, with dramatic consequences. Kirk and the crew also have to deal with the arrival of Captain Koloth and his Klingon battlecruiser, but the tribbles unexpectedly reveal a plot to poison the grain.",8.1,30
Star Trek,253,14001,2,16,1968-01-05,The Gamesters of Triskelion,Captain Kirk and his companions are abducted into slavery and trained to fight as gladiators for the gambling entertainment of three disembodied beings.,6.8,26
Star Trek,253,14005,2,17,1968-01-12,A Piece of the Action,"The Enterprise visits a planet with an Earth-like 1920s gangster culture, with Runyonesque dialog and costumes.",7.0,22
Star Trek,253,14003,2,18,1968-01-19,The Immunity Syndrome,The crew of the Enterprise encounters an energy-draining space creature.,7.5,22
Star Trek,253,14000,2,19,1968-02-02,A Private Little War,The crew of the Enterprise discovers Klingon interference in the development of a formerly peaceful planet and joins them in what becomes an arms race.,6.6,25
Star Trek,253,14006,2,20,1968-02-09,Return to Tomorrow,Telepathic aliens take control of Captain Kirk's and First Officer Spock's bodies.,7.2,24
Star Trek,253,14007,2,21,1968-02-16,Patterns of Force,"The crew of the Enterprise tracks down a Federation observer on a planet dominated by a ""Naziesque"" regime.",7.3,24
Star Trek,253,14004,2,22,1968-02-23,By Any Other Name,Beings from another galaxy commandeer the Enterprise in an attempt to return home.,7.5,26
Star Trek,253,14008,2,23,1968-03-01,The Omega Glory,Captain Kirk must find the cure to a deadly disease and put an end to another Starfleet captain's cultural interference.,5.7,23
Star Trek,253,13992,2,24,1968-03-08,The Ultimate Computer,A skeleton Enterprise crew are assigned to test a revolutionary computer system that is given total control of the ship.,7.4,27
Star Trek,253,13998,2,25,1968-03-15,Bread and Circuses,The Enterprise crew investigates the disappearance of a ship's crew on a planet that is a modern version of the Roman Empire.,6.6,25
Star Trek,253,13985,2,26,1968-03-29,Assignment: Earth,"While back in time observing Earth in 1968, the Enterprise crew encounters the mysterious Gary Seven who has his own agenda on the planet.",6.9,27
Star Trek,253,14010,3,1,1968-09-20,Spock's Brain,"An alien female beams aboard the ship and, after incapacitating the rest of the crew, surgically removes Spock's brain. Kirk and the crew have just hours to locate and replace it before Spock's body dies.",5.8,25
Star Trek,253,14016,3,2,1968-09-27,The Enterprise Incident,The crew of the Enterprise are on a secret mission to steal a Romulan cloaking device.,7.4,26
Star Trek,253,14013,3,3,1968-10-04,The Paradise Syndrome,"An alien device on a primitive planet erases Captain Kirk's memory, and he begins a new life with the planet's indigenous people.",6.6,26
Star Trek,253,14015,3,4,1968-10-11,And the Children Shall Lead,"On a distant planet, Kirk, Spock and McCoy find a scientific team dead, and their children who, unknown to the crew, have great powers at their disposal.",5.3,27
Star Trek,253,14017,3,5,1968-10-18,Is There in Truth No Beauty?,The Enterprise travels with an alien ambassador whose appearance induces madness.,6.8,25
Star Trek,253,14011,3,6,1968-10-25,Spectre of the Gun,"Having been found trespassers into Melkotian space, Captain Kirk and his companions are sent to die in a re-enactment of the gunfight at the O.K. Corral.",6.5,25
Star Trek,253,14021,3,7,1968-11-01,Day of the Dove,An alien force drives the crew of the Enterprise into brutal conflict with the Klingons.,7.1,27
Star Trek,253,14019,3,8,1968-11-08,For the World Is Hollow and I Have Touched the Sky,"The crew of the Enterprise rush to stop an asteroid from colliding with a Federation world, but discover the asteroid is actually an inhabited generation ship.",6.8,24
Star Trek,253,14018,3,9,1968-11-15,The Tholian Web,"Captain Kirk is caught between dimensions while the crew of the Enterprise works to retrieve him. All the while, the Tholians demand that the Enterprise leave their space.",7.2,26
Star Trek,253,14014,3,10,1968-11-22,Plato's Stepchildren,The crew of the Enterprise encounters an ageless and sadistic race of humanoids with the power of telekinesis and who claim to have organized their society around Ancient Greek ideals.,6.7,25
Star Trek,253,14022,3,11,1968-11-29,Wink of an Eye,"Invisible ""time-accelerated"" aliens take over the Enterprise and attempt to abduct the crew for use as ""genetic stock"".",7.4,25
Star Trek,253,14020,3,12,1968-12-06,The Empath,"While visiting a doomed planet, the landing party is subject to torturous experiments by powerful aliens.",6.0,24
Star Trek,253,14012,3,13,1968-12-20,Elaan of Troyius,The USS Enterprise ferries a spoiled princess whose betrothal to a royal Troyian is hoped will bring peace to a star system at war.,6.5,26
Star Trek,253,14030,3,14,1969-01-03,Whom Gods Destroy,Captain Kirk faces off with a demented shape-shifting starship captain determined to control the universe.,6.8,23
Star Trek,253,14032,3,15,1969-01-10,Let That Be Your Last Battlefield,The Enterprise encounters two duo-chromatic and mutually belligerent aliens who put the ship in the middle of their old conflict,6.7,21
Star Trek,253,14029,3,16,1969-01-17,The Mark of Gideon,A race of overpopulated aliens abduct Captain Kirk to solve their problem.,6.3,21
Star Trek,253,14031,3,17,1969-01-24,That Which Survives,"Kirk, McCoy, and Sulu are stranded on a barren planet where a mysterious woman attempts to kill them one at a time, while the Enterprise must travel halfway across the galaxy to rescue them.",6.1,21
Star Trek,253,14028,3,18,1969-01-31,The Lights of Zetar,Strange incorporeal aliens threaten the Memory Alpha station and the Enterprise.,6.3,21
Star Trek,253,14023,3,19,1969-02-14,Requiem for Methuselah,The crew of the Enterprise encounter an immortal human in this science fiction variation on Shakespeare's The Tempest.,6.6,21
Star Trek,253,14025,3,20,1969-02-21,The Way to Eden,"The Enterprise picks up a group of space """"hippies"""" looking for Eden.",5.5,21
Star Trek,253,14027,3,21,1969-02-28,The Cloud Minders,Captain Kirk races against time to acquire plague-fighting minerals from a world in the midst of a civil uprising against a grievous social class disparity.,6.6,21
Star Trek,253,14026,3,22,1969-03-07,The Savage Curtain,"Aliens force Captain Kirk and First Officer Spock to join forces with ""Abraham Lincoln"" and ""Surak"" to battle villains in a contest of good vs. evil.",6.2,21
Star Trek,253,14024,3,23,1969-03-14,All Our Yesterdays,"Kirk, Spock and McCoy are trapped in two parts of another planet's past—a world threatened with destruction when its sun goes supernova.",7.2,21
Star Trek,253,14009,3,24,1969-06-03,Turnabout Intruder,"The Enterprise is in danger when Janice Lester, one of Kirk's former lovers, steals his body.",6.6,19
Star Trek: Voyager,1855,112854,1,1,1995-01-16,Caretaker (1),"Stardate: 48315.6. While in pursuit of a Maquis ship in a region of space known as the 'Badlands', Captain Kathryn Janeway and her crew aboard Voyager and the Maquis ship are transported 70,000 light years from home into the uncharted region of the galaxy known as the Delta Quadrant.",7.2,24
Star Trek: Voyager,1855,1141928,1,2,1995-01-16,Caretaker (2),"Stardate: 48351.6. While in pursuit of a Maquis ship in a region of space known as the 'Badlands', Captain Kathryn Janeway and her crew aboard Voyager and the Maquis ship are transported 70,000 light years from home into the uncharted region of the galaxy known as the Delta Quadrant.",6.9,7
Star Trek: Voyager,1855,112907,1,3,1995-01-23,Parallax,"Stardate: 48439.7. As the Maquis crewmembers begin to integrate themselves into the Starfleet crew, Voyager becomes trapped in a quantum singularity.",6.6,19
Star Trek: Voyager,1855,112908,1,4,1995-01-30,Time and Again,"Stardate: Unknown. After being hit by the shockwave of a devastating planet-wide explosion, Voyager investigates. While on the surface, Janeway and Paris are accidentally 'shifted' one day into the past.",6.7,20
Star Trek: Voyager,1855,112909,1,5,1995-02-06,Phage,"Stardate: 48532.4. During an away mission in the search for dilithium crystals, Neelix is attacked and his lungs are surgically removed by a disease-ridden race of aliens known as the Vidiians. His only hope for survival is if the crew of Voyager can get them back.",6.6,18
Star Trek: Voyager,1855,112910,1,6,1995-02-13,The Cloud,"Stardate: 48546.2. In the search for omicron particles to boost the ship's energy supplies, Voyager inadvertently injures a space-faring life form.",5.9,19
Star Trek: Voyager,1855,112912,1,7,1995-02-20,Eye of the Needle,"Stardate: 48579.4. The discovery of a wormhole leading to the Alpha Quadrant elates the crew, however, their only contact within range is a skeptical and paranoid Romulan.",7.7,18
Star Trek: Voyager,1855,112913,1,8,1995-02-27,Ex Post Facto,Stardate: Unknown. Tom Paris is accused of a murder he claims he did not commit. His sentence is to re-live the last few moments of his victim's life every 14 hours through a memory transplant.,6.0,18
Star Trek: Voyager,1855,112914,1,9,1995-03-13,Emanations,"Stardate: 48623.5. While investigating an asteroid belt containing a new element, Harry Kim is pulled into a 'subspace vacuole' and switched with a dead body. Soon after the body is revived the crew learn that the asteroid belt is the graveyard of an alien culture that transports its dead in the belief that they evolve into a higher state of consciousness. Harry's appearance on the homeworld begins to raise questions about the existence of their afterlife.",6.1,17
Star Trek: Voyager,1855,112925,1,10,1995-03-20,Prime Factors,"Stardate: 48642.5. Harry Kim discovers advanced technology when a race of aliens known as the Sikarans offer shore leave to the crew of Voyager. This would send Voyager 40,000 light years closer to home, however, the Sikarians' ""Canon of Laws"" forbids them from sharing their technology with anyone.",7.0,17
Star Trek: Voyager,1855,112941,1,11,1995-04-10,State of Flux,"Stardate: 48658.2. When stolen Federation technology is found on a severely damaged Kazon Nistrim ship, Seska becomes the prime suspect. The evidence is further reinforced when questions arise regarding her true heritage.",6.8,18
Star Trek: Voyager,1855,112945,1,12,1995-04-24,Heroes and Demons,"Stardate: 48693.2. Harry Kim disappears from the holodeck during his holo-novel, ""Beowulf."" According to the characters, he died at the hands of a mystical beast known as ""Grendel"". When Chakotay and Tuvok also disappear, the Doctor is transferred to the holodeck to investigate.",6.5,18
Star Trek: Voyager,1855,112949,1,13,1995-05-01,Cathexis,"Stardate: 48734.2. After Chakotay and Tuvok are injured in a shuttle accident, a non-corporeal life form begins to wreak havoc on Voyager by infiltrating the minds of the crew and altering the ship's systems one by one.",6.2,18
Star Trek: Voyager,1855,112952,1,14,1995-05-08,Faces,"Stardate: 48784.2. The Vidiians capture Paris, Torres and Durst while on an away mission. Torres is taken to a lab and 'split' into two people: one human, and one Klingon.",6.8,19
Star Trek: Voyager,1855,112953,1,15,1995-05-15,Jetrel,"Stardate: 48832.1. The man, who designed the weapon that destroyed all life on the moon of his home world, including that of his family, diagnoses Neelix with a fatal illness.",6.6,18
Star Trek: Voyager,1855,112954,1,16,1995-05-22,Learning Curve,"Stardate: 48846.5. In order to bring some rebellious Maquis crewmembers into line, Tuvok gives them a Starfleet Academy crash course.",7.2,17
Star Trek: Voyager,1855,112959,2,1,1995-08-28,The 37's,"Stardate: 48975.1. After discovering a 1936 Ford truck from Earth floating in space Voyager discovers a series of cryo-statis chambers containing abductees from Earth during the 1930's, including Amelia Earhart and her navigator.",7.2,18
Star Trek: Voyager,1855,112968,2,2,1995-09-04,Initiations,Stardate: 49005.3. A young Kazon trying to earn his name and place among his people kidnaps Chakotay.,6.4,18
Star Trek: Voyager,1855,112969,2,3,1995-09-11,Projections,"Stardate: 48892.1. When the Doctor is activated during a Red Alert, he learns that the ship has been abandoned, and that only B'Elanna Torres and an injured Captain Janeway are left on board. Soon afterwards, Lt. Barclay appears and tells him that his entire time on Voyager is an elaborate simulation, and he's really a holo-engineer by the name of Zimmerman on Jupiter station in the Alpha Quadrant, who has been trapped on a holodeck for six hours. If he does not destroy Voyager's warp core and end the program soon he will die.",7.8,18
Star Trek: Voyager,1855,112970,2,4,1995-09-18,Elogium,"Stardate: 48921.3. When the crew of Voyager investigate a cluster of space-borne life forms, Kes is forced into a stage in her life known as the 'Elogium.' This is the only time in her life when she can have a family.",5.2,18
Star Trek: Voyager,1855,112971,2,5,1995-09-25,Non Sequitur,"Stardate: 49011. Harry Kim arises one morning to find he is back in San Francisco on Earth with his girlfriend Libby. In order to help him restore reality, he enlists the help of a shady figure in France by the name of Tom Paris, who has no idea who Harry is.",6.6,19
Star Trek: Voyager,1855,112972,2,6,1995-10-02,Twisted,"Stardate: Unknown. A spatial distortion ring begins to reconfigure the internal layout of Voyager. With the crew unable to get to vital systems, and the captain injured after coming into contact with the anomaly, the ship is slowly twisted as the ring implodes and endangers the crew.",6.6,18
Star Trek: Voyager,1855,112973,2,7,1995-10-09,Parturition,"Stardate: Unknown. When Neelix and Paris find themselves trapped on a planet dubbed 'Planet Hell', they become the unwilling parents of an infant alien that is near death. In the meantime, a ship appears and begins attacking Voyager.",5.1,16
Star Trek: Voyager,1855,112974,2,8,1995-10-30,Persistence of Vision,"Stardate: Unknown. Captain Janeway starts seeing characters and objects from her holo-novel around the ship. Soon afterwards the crew begins entering a catatonic state one by one, while only Kes and the Doctor remain unaffected.",6.0,17
Star Trek: Voyager,1855,112975,2,9,1995-11-06,Tattoo,"Stardate: Unknown. Upon discovering a cultural symbol drawn in the ground on a planet that was used by his ancestors to 'heal the land', Chakotay tries to contact the beings his tribe called the 'Sky Spirits.'",5.5,16
Star Trek: Voyager,1855,112976,2,10,1995-11-13,Cold Fire,"Stardate: 49164.8. The crew of Voyager make contact with the Caretaker's mate, Suspiria. Kes meets with the descendants of other Ocampa on Suspiria's array that left the homeworld over 300 years ago. Soon, her mental abilities begin to grow to a point where she can no longer control them, and nearly kills Tuvok in the process.",5.9,17
Star Trek: Voyager,1855,1005909,2,11,1995-11-20,Maneuvers,Stardate: Unknown. After the Kazon steal some Federation technology Chakotay goes after them on his own and is captured.,6.0,17
Star Trek: Voyager,1855,112992,2,12,1995-11-27,Resistance,Stardate: Unknown. Tuvok and B'Elanna are captured and imprisoned after an away mission to obtain a chemical vital to Voyager's systems from a black market go wrong. Janeway is knocked unconscious and is rescued by a man who believes that she is his daughter.,5.8,17
Star Trek: Voyager,1855,112997,2,13,1996-01-15,Prototype,"Stardate: Unknown. After finding and repairing a robot found drifting in space, B'Elanna is abducted and forced to design a new prototype or Voyager will be destroyed.",6.6,17
Star Trek: Voyager,1855,1005910,2,14,1996-01-22,Alliances,Stardate: Unknown. Janeway tries to make an alliance with a Kazon sect for their own protection and so they can continue their journey through the Delta Quadrant.,6.5,15
Star Trek: Voyager,1855,1005911,2,15,1996-01-29,Threshold,"Stardate: Unknown. After finding a type of dilithium that can survive at a higher temperatures, Tom Paris comes up with the ingenious idea of attempting to cross the transwarp threshold in an attempt to find a way to get home faster.",5.2,18
Star Trek: Voyager,1855,113011,2,16,1996-02-05,Meld,"Stardate: Unknown. In order to help out Lon Suder, a psychopath who killed a crewmember, Tuvok performs a mind meld. Soon after he begins showing violent tendencies, which develop until he loses control.",6.8,17
Star Trek: Voyager,1855,113018,2,17,1996-02-12,Dreadnought,"Stardate: 49447. When Voyager encounters a Cardassian missile ship in the Delta Quadrant named 'Dreadnought', B'Elanna must disarm it before it destroys a planet with millions of innocent people.",6.9,18
Star Trek: Voyager,1855,113022,2,18,1996-02-19,Death Wish,Stardate:49301.2. A suicidal Q threatens the future of the Q-Continuum after he requests asylum aboard Voyager.,7.7,17
Star Trek: Voyager,1855,113053,2,19,1996-02-26,Lifesigns,"Stardate: 46504.3. After receiving a Vidiian patient who is about to die from the Phage, the doctor transfers her consciousness into the ship's computer and creates a holographic body. He soon finds himself becoming deeply attracted to her.",6.6,17
Star Trek: Voyager,1855,113058,2,20,1996-03-13,Investigations,"Stardate: 49485.2. After weeks of erratic behavior, Tom Paris leaves Voyager and joins a Talaxian convoy.",7.1,16
Star Trek: Voyager,1855,113060,2,21,1996-03-18,Deadlock,"Stardate: 49548.7. An accident in a plasma cloud duplicates Voyager after they are attacked by the Vidiians. During the aftermath, the ship is severely damaged, Ensign Wildman's baby dies and Harry Kim is sucked into space through a hull breach.",7.8,18
Star Trek: Voyager,1855,113061,2,22,1996-04-08,Innocence,"Stardate: Unknown. When Tuvok crashes on a moon, he discovers three small children who believe they are about to die.",5.9,17
Star Trek: Voyager,1855,113062,2,23,1996-04-29,The Thaw,Stardate: Unknown. The crew of Voyager encounters a planet that has recently entered an ice age. They discover a series of stasis chambers where a small group of people are mentally connected to an artificial environment that turned horribly wrong.,6.5,17
Star Trek: Voyager,1855,113063,2,24,1996-05-06,Tuvix,Stardate: 49655.2. A transporter accident merges Tuvok and Neelix into one new being who calls himself 'Tuvix.',7.2,19
Star Trek: Voyager,1855,113064,2,25,1996-05-13,Resolutions,"Stardate: 49690.1. When Captain Janeway and Chakotay contract an incurable virus they are left on a planet that shield them from its effects. While Janeway searches for a cure, she begins to form a deeper relationship with her first officer. Onboard Voyager, Tuvok, who is now in command, faces a near mutiny.",7.3,18
Star Trek: Voyager,1855,113065,2,26,1996-05-20,"Basics, Part 1","Stardate: Unknown. Voyager receives a distress signal from Seska, who claims that Maje Cullah is going to take her baby away from her, a baby she says is Chakotay's. Chakotay is skeptical, but can't take the risk of abandoning his child, should it really prove to be his. Janeway authorises a mission to rescue Chakotay's child and the ship moves deep into Kazon Nistrim territory. However: was Seska for real, or is this all an elaborate trap?",7.1,17
Star Trek: Voyager,1855,113157,3,1,1996-09-04,"Basics, Part 2","Stardate: 50023.4. Voyager is captured by the Kazon and the crew are dumped on a planet in its early stages of evolution.  As only Tom Paris and Lon Suder have evaded capture, it's up to them and the EMH to come up with a plan to retake the ship.",7.2,16
Star Trek: Voyager,1855,113071,3,2,1996-09-11,Flashback,Stardate: 50126.4. After falling ill to what appears to be a repressed memory Tuvok must perform a mind-meld with Captain Janeway in order to survive. The meld takes them back to when Tuvok was a junior science officer aboard the U.S.S. Excelsior under the command of Captain Hikaru Sulu.,7.4,18
Star Trek: Voyager,1855,113085,3,3,1996-09-18,The Chute,Stardate: 50156.2. Paris and Kim are sent to an Akritian prison after being accused of a terrorist bombing.,6.5,16
Star Trek: Voyager,1855,113090,3,4,1996-09-25,The Swarm,"Stardate: 50252.3. Voyager encounters a region of space owned by a mysterious race of aliens that would take 15 months to go around. Upon crossing the boundaries, a swarm of ships attach themselves to Voyager's hull - an act which drains the ship's power supplies and threatens to destroy it.",6.1,16
Star Trek: Voyager,1855,113094,3,5,1996-10-02,False Profits,"Stardate: 50074.3. A pair of Ferengi is found masquerading as Gods to a culture still in its Bronze Age. It is discovered that they had arrived through the Barzan Wormhole, which leads back to the Alpha Quadrant, however, its Delta Quadrant end is highly unstable and always moving.",6.4,17
Star Trek: Voyager,1855,113103,3,6,1996-10-09,Remember,"Stardate: 50203.1. After Voyager encounter a telepathic species, B'Elanna starts having powerful dreams that depict the life of a woman and her lover in a time of great political and social upheaval.",6.8,17
Star Trek: Voyager,1855,113109,3,7,1996-10-30,Sacred Ground,Stardate: 50063.2. Captain Janeway has to undergo a rigorous ritual in order to save Kes' life when she is knocked unconscious.,5.4,16
Star Trek: Voyager,1855,113110,3,8,1996-11-06,"Future's End, Part 1","Stardate: Unknown. Both Voyager and a 29th century Federation Timeship, the Aeon are pulled back in time to Earth in the late 20th century. The Timeship Aeon crashes in Arizona during the 1960's, while Voyager appears in orbit around Earth during 1996.",7.2,20
Star Trek: Voyager,1855,113158,3,9,1996-11-13,"Future's End, Part 2","Stardate: 50312.5. While trying to rescue Paris and Tuvok, Torres and Chakotay are captured by a gang of weapons smugglers who believe that they are from the government.",7.0,20
Star Trek: Voyager,1855,113111,3,10,1996-11-20,Warlord,Stardate: 50348.1. An injured alien named Tieran transfers his consciousness into Kes' mind moments before he dies. He then gains control over her and begins using her abilities to steal a shuttlecraft and return to his home world to attempt a political coup.,5.6,17
Star Trek: Voyager,1855,113112,3,11,1996-11-27,The Q and the Grey,"Stardate: 50384.2. Voyager encounters several supernova in a small region of space. Time soon reveals that it is the after effects of a civil war within the Q-Continuum. Q appears and believes that the solution to the problem is for him to produce a child, and his mate of choice is Captain Kathryn Janeway. Matters are complicated when a jealous female Q appears claiming that Q was her boyfriend.",6.2,18
Star Trek: Voyager,1855,1005912,3,12,1996-12-11,Macrocosm,"Stardate: Unknown. After returning from a first contact mission, Janeway, Neelix and the Doctor must retake Voyager from an infestation of microorganisms that grow to an alarming size.",6.6,17
Star Trek: Voyager,1855,113125,3,13,1997-01-08,Fair Trade,"Stardate: Unknown. Voyager encounters a region of space named the Nekrit Expanse. Since Neelix has no knowledge about the space after this point, he tries to make himself feel useful to the crew by trying to obtain a map from an old friend named Wixiban, who uses him as a courier for illegal substances.",6.2,17
Star Trek: Voyager,1855,113130,3,14,1997-01-15,Alter Ego,Stardate: 50460.3. Ensign Kim asks Tuvok to teach him Vulcan emotional control techniques when he falls in love with a holodeck character named Marayna. Kim soon becomes jealous when he sees Tuvok interacting with her behind his back as she tries to seduce him.,6.0,17
Star Trek: Voyager,1855,113131,3,15,1997-01-29,Coda,"Stardate: 50518.6. Captain Janeway repeatedly dies after she and Chakotay crash into a planet in what appears to be a time loop. Soon, her deceased father appears and tells her that she is dead and must accept her situation and move on.",6.4,19
Star Trek: Voyager,1855,113132,3,16,1997-02-05,Blood Fever,"Stardate: 50537.2. Ensign Vorik expresses his desire to mate with B'Elanna during his Pon-Farr. After they get in a brawl over the matter, Torres begins showing signs of the Pon-Farr herself.",5.5,15
